Q,A,label
오늘도 고생이 많으시네요.,화이팅,0
육아 파이팅!!,화이팅,0
으아~ 충전하세요.,화이팅,0
응원합니다!,화이팅,0
저도 간절히 기도 할게요.,화이팅,0
저도 사는데요.,화이팅,0
저도 아침이 힘들어요.,화이팅,1
저도 어려운 게 투성이에요.,화이팅,0
조금만 더 기다려주세요.,화이팅,0
조금만 더 버텨보세요.,화이팅,1
조금만 더 버텨요.,화이팅,1
조금만 더 힘내세요.,화이팅,0
조금만 참고 기다려 보세요.,화이팅,0
좀 더 기다려주세요.,화이팅,0
지금은 힘들겠지만 조금만 더 견뎌봐요.,화이팅,1
지쳐서 그런가봐요.,화이팅,1
지쳤나 봐요.,화이팅,0
지칠 때는 쉬어도 돼요.,화이팅,0
직장 스트레스 심하겠네요.,화이팅,0
직장 스트레스가 심한가봐요.,화이팅,0
참고 견뎌보세요.,화이팅,0
처음 만났을 때를 떠올려 보세요,화이팅,0
처음 배우는 게 중요해요.,화이팅,0
처음만 어렵지 그 다음부터는 덜할 거예요.,화이팅,0
처음부터 되짚어보세요.,화이팅,0
처음부터 잘하는 사람은 없어요.,화이팅,0
처음에는 많이 어렵겠지만 차차 적응해 나갈거예요.,화이팅,0
처음이 어려워요.,화이팅,0
천천히 준비해보세요.,화이팅,0
천천히 지워도 돼요.,화이팅,1
천천히 해보세요.,화이팅,1
철밥통 되기가 어디 쉽겠어요.,화이팅,0
철은 죽을 때 들어도 돼요.,화이팅,0
첫사랑니의 고통처럼 시린가봐요.,화이팅,1
초심으로 돌아가 열심히 해보세요.,화이팅,0
출퇴근을 미리 느껴보고 있네요.,화이팅,0
충분히 스스로 극복할 수 있을 거예요.,화이팅,0
취업에 성공할거예요.,화이팅,0
취업 할 수 있을 거예요.,화이팅,0
친구라면 먼저 사과해보세요.,화이팅,0
친구를 사귈 수 있을 거예요.,화이팅,0
침대와 한몸이 되어 푹 쉬세요.,화이팅,0
큰 일을 겪었네요.,화이팅,1
큰일이네요.,화이팅,0
탈출구가 있을 거예요.,화이팅,1
태어난 것만으로도 성공한 인생이에요.,화이팅,0
토닥여주고 싶네요.,화이팅,1
토닥토닥,화이팅,1
투자한 만큼 거둘 수 있을 거예요!,화이팅,0
툭툭 털고 일어나세요.,화이팅,1
파이팅!,화이팅,0
펭귄 운동 해보세요.,화이팅,0
평소처럼 잘 볼 수 있을 거예요.,화이팅,0
푹 쉬고 오세요.,화이팅,0
푹 쉬세요.,화이팅,0
하나라도 있을 거니 열심히 찾아보세요.,화이팅,0
하나씩 꾸며보세요.,화이팅,0
하나씩 다 할 수 있을 거예요.,화이팅,0
하나씩 보내주세요.,화이팅,1
하나씩 비밀을 공유해보세요.,화이팅,0
하나씩 하나씩 해보세요.,화이팅,0
하나씩 하세요.,화이팅,0
하다보면 늘어요.,화이팅,0
하다보면 익숙해질거예요.,화이팅,0
하루에 하나씩 변화해보세요.,화이팅,0
하면서 좋거나 재밌거나 잘하는 게 있었는지 깊게 고민해보세요.,화이팅,0
학교 다닐 때가 좋은 거예요.,화이팅,0
학생이 아니니 어쩔 수 없죠.,화이팅,0
학원을 다니거나 연습하면 잘할 수 있을 거예요.,화이팅,0
학점 관리하세요.,화이팅,0
한동안 그럴 수 있어요.,화이팅,1
한동안은 그럴거예요.,화이팅,1
한동안은 그럴지도 몰라요.,화이팅,1
한동안은 힘들지도 몰라요.,화이팅,1
한 바퀴만 더 돌면 짠하고 나타날 거예요,화이팅,0
한 번 웃고 잊어버리세요.,화이팅,0
한 번에 다 하려고 하지말고 조금씩 정리를 해보세요.,화이팅,0
한푼 두푼 모아서 사보세요.,화이팅,0
한푼 두푼 차곡차곡,화이팅,0
할 수 있다면요.,화이팅,0
할 수 있어요.,화이팅,1
할 수 있을 때 하세요.,화이팅,0
할 수 있을거예요!!,화이팅,0
함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요.,화이팅,1
합격 기원해요!,화이팅,0
합격을 기원합니다.,화이팅,0
합격하는 곳이 있을 거예요.,화이팅,0
해결될 거니 기다려보세요.,화이팅,0
행동할 때인 것 같네요. 응원해요.,화이팅,0
행운을 빌게요!,화이팅,0
행운을 빌어요.,화이팅,0
허리띠를 졸라 매세요.,화이팅,0
허전하시겠어요.,화이팅,1
현실을 꿈처럼 만들어봐요.,화이팅,0
혼자 풀릴 때까지 놔둬야하는데 기다리는 게 힘들 거예요.,화이팅,0
혼자서도 잘하는 연습이 필요해요.,화이팅,0
혼자해도 좋고 학원을 다녀도 좋아요.,화이팅,0
화 내는 연습을 해보세요.,화이팅,0
화를 참는 연습을 해보세요.,화이팅,0
확신이 들 때까지 준비해보세요.,화이팅,0
확신이 있을 때 시작해보세요.,화이팅,0
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,화이팅,0
후회는 후회를 낳을뿐이에요. 용기 내세요.,화이팅,0
후회하기 전에 연락해서 진심을 전해보세요.,화이팅,1
휴가가 간절하겠네요.,화이팅,0
휴식도 필요하죠.,화이팅,0
흥미를 가져보세요.,화이팅,0
힘내세요!,화이팅,1
힘내세요! 제가 응원할게요.,화이팅,1
힘내세요.,화이팅,1
힘내세요. 제가 있잖아요,화이팅,1
힘드시죠.,화이팅,1
힘든 만큼 행복해질 거예요.,화이팅,1
힘든 시간 보내고 있으신가봐요.,화이팅,1
힘든 일이 있었나 봐요.,화이팅,1
힘들 결정이었을텐데 맘고생 많았어요.,화이팅,1
힘들 때네요.,화이팅,0
힘들겠네요.,화이팅,0
힘들겠어요.,화이팅,0
힘들겠죠.,화이팅,1
힘들겠지만 그러는 편이 나아요.,화이팅,1
힘들겠지만 하나씩 해보세요.,화이팅,0
힘들만해요.,화이팅,1
힘들지만 언젠간 기억 저편으로 사라질 거예요.,화이팅,1
힘을 내세요.,화이팅,1
힘이 되지 않겠지만 힘내세요.,화이팅,1
XX놈아!,분노,1
가장 듣기 싫은 경우예요.,분노,0
간사하죠.,분노,1
경찰에 신고하고 취할 수 있는 조취를 취해보세요.,분노,0
계속 그러면 말하세요.,분노,0
공동육아가 기본인데요.,분노,0
그 말을 한 사람이 가장 이상할 거예요.,분노,0
그런 사람 거르세요.,분노,1
그런 사람들 은근 많아요.,분노,0
그런 친구 말고 제대로 된 친구 사귀세요.,분노,0
그럴 때마다 따끔하게 말해보세요.,분노,0
그렇다면 여우네요.,분노,0
기분 나쁠 거라 생각해요.,분노,1
길은 항상 막히는 것 같아요.,분노,0
꿈이 웬수죠.,분노,1
나쁜 사람.,분노,1
나쁜 사람이네요.,분노,0
나중에 가면 돈이 더 많이 나갈거예요.,분노,0
누가 이렇게 속상하게 만들었나요?,분노,1
눈살이 찌푸려지죠.,분노,0
뒤통수 맞았나 봐요.,분노,0
머리 좀 감으세요.,분노,0
사랑이 사람을 간사하게 만들어요.,분노,1
신고하고 차단해보세요.,분노,0
신고하세요.,분노,0
심하면 신고하세요.,분노,0
안 좋은 회사네요.,분노,0
앞머리만이라도 감으세요.,분노,0
오는 말이 고와야 가는 말도 곱다고 말해주세요.,분노,0
저 기분 나빠질거 같아요.,분노,2
정말 후회할 습관이에요.,분노,0
정신 차리세요.,분노,0
제길.,분노,1
제발 좀 정신차리세요.,분노,1
조심했어야죠!,분노,0
지저분해요.,분노,0
진짜 나빴네요.,분노,0
차별을 하다니 못난 사람들이군요.,분노,0
철 들고 공부하세요.,분노,0
친구라고 생각한 시간이 아깝네요.,분노,0
티끌 모아 태산이에요.,분노,0
피할 수 있으면 피하고 싶은 사람이네요.,분노,0
학교 폭력은 범죄에요.,분노,0
현재의 나한테 사과하세요.,분노,1
내 꿈 꿔!,사랑,0
당신 꿈 꿀게요,사랑,0
당신은 태어난 그 자체만으로 축복과 사랑을 받을 자격이 있는 사람이에요.,사랑,0
당신이어서 행복해요.,사랑,2
많이 사랑해요!,사랑,0
사랑해요!,사랑,2
저도 당신을 좋아해요.,사랑,2
저도 당신이 좋아요.,사랑,2
저도 좋아합니다.,사랑,2
저도 좋아해요.,사랑,0
제가 당신을 좋아하고 있어요.,사랑,0
하늘만큼 땅만큼 사랑해요.,사랑,2
꼬르륵,부끄,0
당신이랍니다.,부끄,0
사귀기 전 두근거림을 좋아하나 봐요.,부끄,2
어머나,부끄,2
저도 사랑해주세요.,부끄,0
저도 좋아해주세요.,부끄,0
혹시 반한 걸 수도 있어요.,부끄,0
슬퍼하지 말아요. 제가 있잖아요.,최고,1
역시는 역시 역시군요.,최고,1
분노0퍼센트 현실입니다.,최고,2
거절0분씩 일찍 자는 습관을 들여보세요.,최고,0
Beatles의 Yesterday에요.,최고,0
Red hot chilly pepper의 can't stop이에요.,최고,0
가게부를 써보세요.,최고,0
가까운 곳으로 여행을 가보는 것도 좋을 거예요.,최고,1
가까운 미래에 나올거 같아요.,최고,0
가끔 표출하는 것도 좋아요.,최고,0
가끔 하늘을 보세요.,최고,0
가끔 핸드폰 없이 살아보세요.,최고,0
가끔씩 스트레칭을 해주세요.,최고,0
가끔은 괜찮아요.,최고,1
가끔은 내키는 대로 해보세요.,최고,1
가끔은 힘내지 말고 내려놔봐요.,최고,1
가끔은 힘내지 않아도 돼요. 뭐가 됐든 잘하고 있다고 믿어요.,최고,1
가는 곳과 같이 가는 사람에 따라 다르겠죠.,최고,0
가능하다면요.,최고,0
가능하면 가는 게 좋겠죠.,최고,0
가능하면 참석하는 게 좋겠죠.,최고,0
가능한 거 같아요.,최고,2
가려 가며 만나면 돼요.,최고,0
가려 먹으면 좋죠.,최고,0
가리면 돼요.,최고,0
가방은 어때요.,최고,0
가벼운 산책을 해보세요.,최고,0
가벼운 운동하면서 기분 전환 해보세요.,최고,1
가볍게 먹을 수 있는 걸 먹어보세요.,최고,0
가볍진 않았을거예요.,최고,1
가장 중요한 거예요.,최고,0
가장 중요한 목표네요.,최고,0
가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,최고,0
가족과 친구가 있잖아요.,최고,1
가족들과 상의해보세요.,최고,0
가족에게 주세요.,최고,0
가족한테 하세요.,최고,0
각자가 생각하는 기본이 다를 수도 있어요.,최고,0
각질제거 먼저 하세요.,최고,0
각질제거를 해보세요.,최고,0
간단하고 좋죠.,최고,0
간단한 견과류나 과일을 먹어보세요.,최고,0
감기 조심하세요.,최고,0
감성적이기 딱 좋죠.,최고,1
감정에 솔직한 모습이 보기 좋아요.,최고,2
강렬하고 자신감 있게 하면 되지 않을까 싶어요.,최고,0
강습 받아보세요.,최고,0
갖지 마세요.,최고,2
같은 하늘 아래 어딘가에.,최고,0
같이 가는 여행도 좋지만 혼자 여행도 좋을 거예요.,최고,0
같이 가보세요.,최고,0
같이 가자고 말해보세요,최고,0
같이 고르는 것도 좋을 거 같아요.,최고,0
같이 살고 싶은 사람이 있나 봐요.,최고,0
같이 여행을 떠나보세요.,최고,0
같이 운동하기 좋겠네요.,최고,0
같이 해보세요.,최고,0
개념만 가져오면 돼요.,최고,0
개인 시간이 생길 거예요.,최고,0
개인의 선택이죠.,최고,0
거꾸로 해서 드라이플라워 만들어보세요.,최고,0
거리를 걸어보세요.,최고,0
거울 앞에 비친 당신을 보세요.,최고,0
거울 한 번 보고 오시죠.,최고,1
거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.,최고,0
거창하지 않아도 돼요.,최고,0
건강 생각해서 꾸준히 하세요.,최고,0
건강 생각해서 챙겨드세요.,최고,0
건강에 관심 있는 사람들이 많죠.,최고,0
건강에 유의하세요.,최고,0
건강에 좋은 습관이네요.,최고,0
건강에 좋을 거예요.,최고,0
건강에도 좋겠네요.,최고,0
건강은 어려서부터 챙겨야해요.,최고,0
건강을 위해 조금씩 드세요.,최고,0
건강을 챙긴다는 마음으로 해보세요.,최고,0
건강하게 운동해보세요.,최고,0
건강한 식단이네요.,최고,0
걷다보면 조금 정리가 될 거예요.,최고,0
게임하세요!,최고,0
게임할때는 시간이 더 빨리 가요.,최고,0
겨울에는 귤 먹으면서 집에 있는 게 최고죠,최고,0
결국 시간은 흐르고 일상으로 돌아갈 거예요.,최고,1
결정은 그대의 몫입니다.,최고,0
결정은 빠르면 빠를수록 좋을 거예요.,최고,0
결정할 때 좀 더 생각하고 해보세요.,최고,0
경제적으로 도움이 되겠네요.,최고,0
경조사는 참석하는 게 좋아요.,최고,0
경쾌한 음악 들어보세요.,최고,0
경험은 뭐든 도움이 될 거예요.,최고,0
계단 조심하세요.,최고,0
계속 주고 있었을 거예요.,최고,0
계획 세우고 하세요.,최고,0
계획을 세워보세요.,최고,0
계획적이고 합리적인 소비를 해보세요.,최고,0
고가의 선물은 부담스러울 수도 있어요.,최고,0
고마운 마음을 전해 주세요.,최고,0
고마운만큼 꼭 갚아 주세요.,최고,0
고마움을 전해 보세요.,최고,0
고맙다고 말해 주세요.,최고,0
고민하고 있으면 그럴 거예요.,최고,0
고백도 용기가 필요해요.,최고,2
고백은 타이밍입니다.,최고,2
고생 많았어요.,최고,0
고생했어요.,최고,0
고치고 싶다는 마음에서 시작하세요.,최고,0
고치기 어려우니까 습관이라고 하겠죠.,최고,0
곧 오겠네요.,최고,0
공감되는 표현이에요.,최고,1
공기정화식물도 좋을 거예요.,최고,0
공부 좋죠.,최고,0
공부가 최우선이죠.,최고,0
공부는 끝이 없죠.,최고,0
공부는 뭐든 좋아요.,최고,0
공부는 언제나 좋죠.,최고,0
공부를 많이 해놨나 봐요.,최고,0
공부에 흥미를 가져보세요.,최고,0
공부하러 왔나 봐요.,최고,0
공부하면 더 많은 선택을 할 수 있죠.,최고,0
공부하면서 못했던 것들 해보세요.,최고,0
공부하세요.,최고,0
공부한 만큼 나올 거예요.,최고,0
공적인 일부터 하세요.,최고,0
공통점을 찾는다고 생각해보세요.,최고,0
과거랑 현재랑 미래는 함께 해요.,최고,1
관리해주세요.,최고,0
관심이 가나 봐요.,최고,2
광합성 추천합니다.,최고,0
괜찮아지고 있어 다행이에요.,최고,0
괜찮아질 거예요.,최고,1
괜찮은 사람이에요.,최고,0
괜찮은 선택이길 바라요.,최고,0
괜찮은거로 골라보세요.,최고,0
괜찮을 거예요.,최고,0
구두로 멋을 내보세요.,최고,0
구릿빛 피부 좋죠!,최고,0
궁금하다고 보고 싶다고 먼저 말해보는 게 좋을 거 같아요.,최고,2
궁금할 수 있어요.,최고,1
귀여운 사람이 말해서 그래요.,최고,0
귀여울 거 같아요.,최고,2
귀엽겠네요.,최고,0
그 끝에는 아쉬움이 없을 거예요.,최고,1
그 누구도 아닌 자기 걸음을 걸으세요.,최고,0
그 때의 나를 지우지는 마세요.,최고,1
그분 생각이 나나 봅니다.,최고,1
그분이 나타나면 꼭 잡으세요!,최고,0
그 사람도 그럴 거예요.,최고,0
그 사람도 설렐 거예요.,최고,0
그 사람에게 잘해주세요.,최고,2
그 사람을 위해 에너지를 쓰니까요.,최고,0
그 사람의 좋은 점을 생각해보세요.,최고,0
그 속에서 가치와 의미를 찾아보세요.,최고,0
그 이유를 찾는 과정이 되겠네요.,최고,0
그 조차 매력이겠죠.,최고,0
그 친구랑 좋은 인연 만들어 보세요.,최고,0
그걸 깨닫다니 대단하시군요.,최고,0
그게 마음이 편할 때도 있어요.,최고,0
그게 문제는 아닐 거예요.,최고,0
그게 서로에게 좋았던 선택일 거예요.,최고,0
그게 인생이죠.,최고,0
그게 최고죠.,최고,0
그게 최선이었을 거예요.,최고,1
그게 행복일지도 몰라요.,최고,0
그냥 다 말해보세요.,최고,2
그냥 배워도 돼요.,최고,0
그동안 고생 많았어요,최고,0
그동안 마음 고생 많았어요.,최고,1
그땐 그게 맞다고 생각했으니까요.,최고,1
그래도 맛있게 드세요.,최고,0
그래도 먹으려고 노력해보세요.,최고,0
그래도 밥 잘 챙겨 드세요.,최고,1
그래도 배울 점이 하나라도 있을 거예요.,최고,0
그래도 사랑하지 않는 것보다 좋을 거예요.,최고,1
그래도 상관없어요. 칭찬해주고 싶네요.,최고,0
그래도 웃어 보아요.,최고,1
그래도 취미 생활이 있어야 사는 재미가 있죠.,최고,0
그래도 해보는 게 좋을 거 같아요.,최고,0
그래도 해야 깔끔하겠죠.,최고,0
그래서 배우는 게 즐겁죠.,최고,0
그래서 우리는 꿈을 꾸죠.,최고,0
그래서 표현이 중요해요.,최고,0
그랬었지 하고 추억하는 날이 올 거예요.,최고,1
그러게 말이에요.,최고,0
그러니까 싸우는 거예요.,최고,0
그러면 같이 해도 잘하게 될 거예요.,최고,0
그러면 만나는 게 좋은거 같아요.,최고,0
그러면 못할 게 없겠네요.,최고,0
그런 감이 없지 않죠.,최고,0
그런 걱정은 안 하셔도 되어요.,최고,0
그런 날이 있죠.,최고,0
그런 때라고 생각해요.,최고,1
그런 사람 만나길 바랄게요.,최고,2
그런 사람들이 있어 부러워요.,최고,0
그런 사람이 있다니 부럽네요.,최고,0
그런 인상이 오래오래 봐도 질리지 않아요.,최고,0
그런 일이 가능한지 몰랐네요.,최고,0
그런 일이 많이 생기죠.,최고,0
그런 친구가 오래가요.,최고,0
그런 하루도 감사한 마음을 가져보세요.,최고,0
그럴 거라 생각해요.,최고,1
그럴 거예요.,최고,1
그럴 때가 있어요.,최고,0
그럴 때가 있죠.,최고,0
그럴 수 있어요.,최고,1
그럴 수 있을 거예요.,최고,0
그럴 수도 있겠죠.,최고,1
그럴 수도 있어요.,최고,1
그럴 시기에요.,최고,1
그럴 때는 초기화하는 게 속시원해요.,최고,0
그럴만 해요.,최고,1
그럼요!,최고,0
그럼요. 걱정하지 마세요,최고,0
그렇게 될 수 있을 거예요.,최고,0
그리워만 하지 말고 연락해보세요.,최고,2
그만큼 많이 성장하려 하나 봐요.,최고,1
그쪽 방면에 대한 지식이 있었으면 좋겠네요.,최고,0
근처 산에 가보세요.,최고,0
근처 치과에 가보세요.,최고,0
근처 카페에서 드셔보세요.,최고,0
글 쓰면서 정리가 될 거예요.,최고,0
글로 적어보세요. 조금이나마 정리가 될 거예요.,최고,2
글을 쓰다보면 정리가 될 거예요.,최고,1
글을 쓰면 마음 정리에 도움이 돼요.,최고,1
글자라도 보는 게 어디에요.,최고,0
금연 프로그램을 소개해보세요.,최고,0
금연하세요.,최고,0
급 다이어트 해봐요!,최고,0
급하게 먹거나 과식하지 말고 좋은 식습관을 가져보세요.,최고,0
긍정적으로 바뀔 수 있어요,최고,0
긍정적이고 부정적인 파급력이 모두 세죠.,최고,0
긍정적인 생각을 해보세요.,최고,0
기념일 챙겨주면 좋아할거예요.,최고,0
기다려보세요.,최고,0
기다려보셨나 봐요.,최고,1
기다렸나 봐요.,최고,0
기다릴 수 있을지 스스로에게 물어보세요.,최고,0
기대되겠네요.,최고,0
기본으로 배워 놓는 게 좋죠.,최고,0
기분 전환해보세요.,최고,0
기분 좋겠어요.,최고,0
기분 좋아 보이세요.,최고,0
기분이 좋아 보이네요.,최고,0
기분전환을 해보세요.,최고,0
기쁜 마음으로 베풀고 보답을 바라지 마세요.,최고,0
기술을 많이 알면 도움이 되겠죠.,최고,0
기우제를 지내봅시다!,최고,0
기적 같은 일이네요.,최고,2
기초대사량을 높여보세요.,최고,0
기특하네요.,최고,0
길러도 어울리면 길러보세요.,최고,0
깔끔하게 정리해보세요.,최고,0
깔끔한 게 좋죠.,최고,0
깔끔해질 거예요.,최고,0
"깨끗이 씻어보고 섬유유연제나 바디워시, 바디로션, 향수 등을 사용해보세요.",최고,0
깨끗하게 치워주세요.,최고,0
깨달음이 있길 바랄게요.,최고,1
한 번 입어보세요,최고,0
꼬박꼬박 챙겨 드세요.,최고,0
꼭 앞으로 나가야 하는 건 아니에요.,최고,0
꼭 필요한 곳이라면요.,최고,0
꼭 하고 싶은 게 있을 필요는 없어요.,최고,0
꼼꼼한 거예요.,최고,0
꽃 선물은 언제나 좋죠.,최고,0
꽃길만 걷길 바랄게요.,최고,0
꽃길만 걷길 바랍니다.,최고,0
꽤 재밌었어요.,최고,0
꾸준한 자기 관리 좋아요.,최고,0
꾸준한 게 제일 힘들어요. 습관으로 만들어보세요.,최고,0
꿈같은 이야기네요.,최고,0
꿈꾸던 여행이네요.,최고,0
꿈에 대한 계획을 구체적으로 말씀드려보세요.,최고,0
꿈에 도전하는 건 좋은 거라고 들었어요.,최고,0
꿈에서 본다면 더 마음이 헛헛할 거예요.,최고,1
꿈은 현실이랑 반대예요.,최고,0
꿈일뿐이에요.,최고,1
꿩 먹고 알 먹고네요.,최고,0
끝까지 멋있네요.,최고,1
끝까지 잘할 수 있을 거예요.,최고,0
끝까지 해보세요.,최고,0
끝은 항상 존재하니까요.,최고,1
끝을 지날 수 있을 거예요.,최고,1
끝이라고 생각했을 때 더 좋은 시작이 기다리고 있을 거예요.,최고,1
나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,최고,0
나 좋다는 사람 만나세요.,최고,1
나들이 가보세요.,최고,0
나를 관찰하고 음식 자체에 집중하세요.,최고,0
나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.,최고,0
나를 진실로 존중하고 사랑할 때 가능해요.,최고,0
나를 포장하는 게 쉽지 않죠.,최고,0
나름 괜찮아요.,최고,0
나만의 공간으로 꾸며보세요.,최고,0
나만의 공부방법을 찾아보세요.,최고,0
나아질거예요.,최고,1
나의 장점.,최고,1
나이스 타이밍!,최고,0
나중에 도움이 될 거예요.,최고,0
나중에 보면 좋은 추억이 될 거예요.,최고,0
나중에 알아줄 거예요.,최고,0
나중에 없애주세요.,최고,0
나한테 맞는 공부 방법 찾는 게 시급하네요.,최고,0
날려버리시길 바라겠습니다.,최고,0
날씨 어플에 물어보세요.,최고,0
날씨가 안 좋더라도 데이트는 성공적일 거예요.,최고,0
남들이 안 하는 걸 도전해보세요.,최고,0
남보다 하나씩 더 하면 돼요.,최고,0
남에게 피해만 주지 않는다면 괜찮아요.,최고,0
남에게 피해만 주지 않는다면 상관 없어요.,최고,0
남에게 피해주지 않는 건 기본이죠.,최고,0
"남자사람친구, 여자사람친구 하세요.",최고,0
낭만적인 거 좋아하시는구나!,최고,0
낮잠은 20분만 자세요.,최고,0
낮잠을 잠깐 자도 괜찮아요.,최고,0
